Date,Close
1/2006,0.0001058089593027639
2/2006,0.00010813499572866766
3/2006,0.00010938442119600431
4/2006,0.00011219151565053063
5/2006,0.00011091114945601612
6/2006,0.00010723724701532909
7/2006,0.00011023523606715357
8/2006,0.00011003005265978956
9/2006,0.00010942851760894957
10/2006,0.00010904022928662998
11/2006,0.00010954805809452297
12/2006,0.00011020185809265392
1/2007,0.00011045674732801962
2/2007,0.00011040476559640219
3/2007,0.00010924213270382103
4/2007,0.00011004115003823676
5/2007,0.00011316196675442542
6/2007,0.00011134304645085151
7/2007,0.00011042485964804799
8/2007,0.00010689068640592555
9/2007,0.00010772666635278443
10/2007,0.00011007238965430737
11/2007,0.00010832704897193155
12/2007,0.0001070388765210978
1/2008,0.00010635582346754327
2/2008,0.00010899963185245618
3/2008,0.00010932808036642392
4/2008,0.0001086777088564152
5/2008,0.00010788218097867648
6/2008,0.00010764505502900306
7/2008,0.0001092664947680052
8/2008,0.00010860298434314832
9/2008,0.00010665689231102383
10/2008,0.00010037763761908678
11/2008,8.557394444539526e-05
12/2008,8.867709200826625e-05
1/2009,9.00005318213244e-05
2/2009,8.454836377779e-05
3/2009,8.450552742972597e-05
4/2009,9.05211963610479e-05
5/2009,9.67305088024763e-05
6/2009,9.823643276720868e-05
7/2009,9.919588785886237e-05
8/2009,0.00010048673824601765
9/2009,0.00010182187115141342
10/2009,0.00010572577088173683
11/2009,0.00010602874441005887
12/2009,0.00010505600256122939
1/2010,0.00010805081475681982
2/2010,0.00010691585187877881
3/2010,0.00010935394527538491
4/2010,0.0001107486604022042
5/2010,0.00010876129153356457
6/2010,0.00010931921512239623
7/2010,0.00011087279137260943
8/2010,0.00011210993804811754
9/2010,0.00011145047073540774
10/2010,0.00011223182652835993
11/2010,0.00011732175048603447
12/2010,0.00011110230754674799
1/2011,0.00011123950705673564
2/2011,0.00011279425138532997
3/2011,0.000114421313092853
4/2011,0.00011578053925318793
5/2011,0.00011707199632067951
6/2011,0.00011694227774906433
7/2011,0.00011732302316763616
8/2011,0.00011794702387924312
9/2011,0.00011500522740989021
10/2011,0.00011329592362327414
11/2011,0.00011140946739501778
12/2011,0.00011058265938539308
1/2012,0.00011048974579769584
2/2012,0.00011635477123820869
3/2012,0.00010958770355545048
4/2012,0.00010937226524904396
5/2012,0.00010857632607113949
6/2012,0.00010659473689772
7/2012,0.00010629788347478095
8/2012,0.00010569245839955386
9/2012,0.00010499136807469743
10/2012,0.00010458705120553312
11/2012,0.00010439022526772371
12/2012,0.00010408185663967008
1/2013,0.00010383789388175597
2/2013,0.00010363064762095678
3/2013,0.00010342944956487604
4/2013,0.000103227791164221
5/2013,0.00010286894777878566
6/2013,0.00010204531955212027
7/2013,0.00010013468055062767
8/2013,9.523727067298118e-05
9/2013,8.878028570341466e-05
10/2013,8.920156282194697e-05
11/2013,8.958325838254039e-05
12/2013,8.6274052861013e-05
1/2014,8.308768279290215e-05
2/2014,8.449799739746167e-05
3/2014,8.752005667965575e-05
4/2014,8.755731023942944e-05
5/2014,8.690328059884261e-05
6/2014,8.418082040222398e-05
7/2014,8.571822555819336e-05
8/2014,8.539987474685037e-05
9/2014,8.421761832575375e-05
10/2014,8.241866531930067e-05
11/2014,8.232553161712042e-05
12/2014,8.049754482488284e-05
1/2015,7.98226485880462e-05
2/2015,7.852282854933001e-05
3/2015,7.672215073112722e-05
4/2015,7.729088424284796e-05
5/2015,7.643645946319767e-05
6/2015,7.528703180877094e-05
7/2015,7.489734179564749e-05
8/2015,7.304601899196493e-05
9/2015,6.97157814346874e-05
10/2015,7.266913741733885e-05
11/2015,7.346407606680333e-05
12/2015,7.239283499784396e-05
1/2016,7.22506063890179e-05
2/2016,7.407433535920762e-05
3/2016,7.620234040579403e-05
4/2016,7.605747047340342e-05
5/2016,7.465218866644045e-05
6/2016,7.49947162813529e-05
7/2016,7.632644456882828e-05
8/2016,7.607228851903791e-05
9/2016,7.625412032206968e-05
10/2016,7.683301624469487e-05
11/2016,7.50917313763973e-05
12/2016,7.454594741122255e-05
1/2017,7.489387197913865e-05
2/2017,7.501537815252126e-05
3/2017,7.500529928744966e-05
4/2017,7.524086481850022e-05
5/2017,7.509125219560292e-05
6/2017,7.521753252303536e-05
7/2017,7.500300012000481e-05
8/2017,7.50065223062875e-05
9/2017,7.518420129316827e-05
10/2017,7.397593764500966e-05
11/2017,7.398899325643176e-05
12/2017,7.381163271331562e-05
1/2018,7.471195293796634e-05
2/2018,7.363960043152806e-05
3/2018,7.273232191325679e-05
4/2018,7.246711900527713e-05
5/2018,7.106712245051619e-05
6/2018,7.148610062400196e-05
7/2018,6.940849145713762e-05
8/2018,6.872320367338012e-05
9/2018,6.72741975638616e-05
10/2018,6.57243134399148e-05
11/2018,6.799773254350602e-05
12/2018,6.884435582940497e-05
1/2019,7.0508673888532e-05
2/2019,7.129090355195619e-05
3/2019,7.035416290177776e-05
4/2019,7.069170224012364e-05
5/2019,6.950422949010906e-05
6/2019,7.018368825809349e-05
7/2019,7.105759328660292e-05
8/2019,7.014140857278866e-05
9/2019,7.076241806343454e-05
10/2019,7.07437846889509e-05
11/2019,7.132988439555459e-05
12/2019,7.148053211290613e-05
1/2020,7.310271648678495e-05
2/2020,7.268039619406443e-05
3/2020,6.61407809105802e-05
4/2020,6.335950470676915e-05
5/2020,6.718062426804206e-05
6/2020,7.049911007207834e-05
7/2020,6.888726766813708e-05
8/2020,6.829708141678869e-05
9/2020,6.755326407574411e-05
10/2020,6.794647405487965e-05
11/2020,7.048598434176642e-05
12/2020,7.091349284943308e-05
1/2021,7.134947853480095e-05
2/2021,7.143056671109171e-05
3/2021,6.954347991849738e-05
4/2021,6.86762373871464e-05
5/2021,6.976442900502663e-05
6/2021,6.961736721427177e-05
7/2021,6.875977678119083e-05
8/2021,6.941517096076512e-05
9/2021,7.0076972966549e-05
10/2021,7.045187839404798e-05
11/2021,7.000093843156242e-05
12/2021,6.98136004728768e-05
1/2022,6.9735771117906e-05
2/2022,6.967206390312019e-05
3/2022,6.971748345570914e-05
4/2022,6.953112819907123e-05
5/2022,6.862908417435562e-05
6/2022,6.81115817547812e-05
7/2022,6.675266121308206e-05
8/2022,6.74533089971783e-05
9/2022,6.678507895175681e-05
10/2022,6.489477142634406e-05
11/2022,6.390154985943257e-05
12/2022,6.420075448234832e-05
1/2023,6.556036518747733e-05
2/2023,6.605960086867304e-05
3/2023,6.541316104593111e-05
4/2023,6.718059824322735e-05
5/2023,6.748204529751227e-05
6/2023,6.695406190511696e-05
7/2023,6.647134650032738e-05
8/2023,6.556681654066759e-05
9/2023,6.509603373821668e-05
10/2023,6.355642687719231e-05
11/2023,6.427317285333414e-05
12/2023,6.467902854603238e-05
1/2024,6.43890646353381e-05
